Quarter	Bats-Y	Bats-Z	Arca	Nasdaq	CHX	Edge-A	Edge-X	Amex	Boston	NYSE	Phlx	NSX
2/1/15	1.059528054	1.103116343	0.875149583	1.684478105	0.088117856	1.271241938	1.871659728	2.27178084	0.716428163	1.609063604	0.358287509	0
5/1/15	1.316920782	1.133680545	1.027586068	1.821365184	0.085108126	1.141081633	1.593088969	2.369404577	0.798356322	1.846513763	0.413281148	0
8/1/15	1.144982867	1.108937286	1.05837923	1.87150844	0.115057074	0.886315925	1.796832583	2.073128531	0.853978736	1.698178086	0.324457727	0
11/1/15	1.443459212	1.147259702	1.130481899	2.145882241	0.075104169	1.075776421	2.074772288	2.174720828	1.03296941	1.816020048	0.346511235	0
2/1/16	1.183244551	0.97767298	0.99633847	1.653864122	0.05229323	0.767011114	1.440729529	2.650820128	0.728764607	2.067664151	0.305326106	0.040504394
5/1/16	1.396729541	1.117744626	1.108605157	1.798907058	0.03156878	0.8821608	1.665578118	2.79945468	1.11011325	2.476657906	0.415232848	0.094142768
8/1/16	1.7175449	1.155660044	0.949218292	1.766384406	0.025854955	1.152419893	1.881965799	2.365181729	1.281339731	2.528799084	0.394741062	0.202063316
11/1/16	1.947637578	1.21012104	0.970715606	1.956602952	0.049062098	1.251348823	2.050118381	2.264848405	1.451921711	2.653506925	0.416147248	0.524818802
