20160912,NSX,AAPL,2.85
20160913,NSX,AAPL,0.8
20160914,NSX,AAPL,3.07
20160915,NSX,AAPL,5.3
20160916,NSX,AAPL,9.176
20160919,NSX,AAPL,2.065
20160920,NSX,AAPL,0.0
20160921,NSX,AAPL,0.0
20160922,NSX,AAPL,2.064
20160923,NSX,AAPL,0.0
20160926,NSX,AAPL,0.5
20160927,NSX,AAPL,0.0
20160928,NSX,AAPL,5.2
20160929,NSX,AAPL,3.574
20160930,NSX,AAPL,0.0
20161003,NSX,AAPL,22.909000000000002
20161004,NSX,AAPL,0.0
20161005,NSX,AAPL,0.0
20161006,NSX,AAPL,0.1
20161007,NSX,AAPL,0.0
20161010,NSX,AAPL,0.0
20161011,NSX,AAPL,0.885
20161012,NSX,AAPL,0.1
20161013,NSX,AAPL,0.1
20161014,NSX,AAPL,19.1
20161017,NSX,AAPL,0.0
20161018,NSX,AAPL,3.2
20161019,NSX,AAPL,0.0
20161020,NSX,AAPL,0.0
20161021,NSX,AAPL,0.0
20161028,NSX,AAPL,1.3559999999999999
20161031,NSX,AAPL,0.3
20161101,NSX,AAPL,1.004
20161102,NSX,AAPL,0.8
20161103,NSX,AAPL,11.185
20161104,NSX,AAPL,0.0
20161107,NSX,AAPL,0.4
20161108,NSX,AAPL,0.0
20161109,NSX,AAPL,8.071
20161110,NSX,AAPL,1.0
20161111,NSX,AAPL,0.2
20161114,NSX,AAPL,1.8
20161115,NSX,AAPL,0.7
20161116,NSX,AAPL,0.3
20161117,NSX,AAPL,0.0
20161118,NSX,AAPL,0.7
20161121,NSX,AAPL,0.5
20161122,NSX,AAPL,13.224
20161123,NSX,AAPL,0.0
20161125,NSX,AAPL,0.0
20161128,NSX,AAPL,2.2
20161129,NSX,AAPL,1.2
20161130,NSX,AAPL,0.0
20161201,NSX,AAPL,11.89
20161202,NSX,AAPL,2.356
20161205,NSX,AAPL,2.616
20161206,NSX,AAPL,6.747
20161207,NSX,AAPL,9.824
20161208,NSX,AAPL,0.91
20161209,NSX,AAPL,10.029
20161212,NSX,AAPL,2.9
20161213,NSX,AAPL,0.5
20161214,NSX,AAPL,0.1
20161215,NSX,AAPL,7.179
20161216,NSX,AAPL,19.866
20161219,NSX,AAPL,2.599
20161220,NSX,AAPL,1.45
20161221,NSX,AAPL,0
20161222,NSX,AAPL,1.805
20161223,NSX,AAPL,1.6
20161227,NSX,AAPL,0
20161228,NSX,AAPL,0.119
20161229,NSX,AAPL,0
20161230,NSX,AAPL,0.3
