,Date,ArcaTradeVol,BostonTradeVol,CHXTradeVol,NasdaqTradeVol,NSXTradeVol,PhlxTradeVol,TotTradeVol
102,20160721,67.09,25.557,0,254.577,0,1.641,348.865
103,20160722,92.312,35.741,0,297.04,2.914,1.21,429.217
104,20160725,70.95,26.394,0,293.89,0,3.177,394.411
105,20160726,100.364,30.577,0,311.436,0,4.589,446.966
106,20160727,172.832,41.182,0,577.784,0,2.651,794.449
107,20160729,435.943,88.351,0.18,1196.936,0,12.275,1733.685
108,20160601,64.805,20.809,0,343.21,0,9.176,438
109,20160602,117.549,51.957,0,446.01,0,24.642,640.158
110,20160603,83.375,47.206,0,341.928,0,9.784,482.293
111,20160606,82.296,52.468,0.012,377.1,0,5.558,517.434
112,20160607,61.49,23.223,0,410.598,0,2.665,497.976
113,20160608,115.999,49.03,0,470.675,0,9.387,645.091
114,20160609,64.338,19.897,0,256.408,0,7.495,348.138
115,20160610,107.232,45.361,0,338.436,0,6.651,497.68
116,20160613,81.389,40.126,0,357.577,0,5.888,484.98
117,20160614,108.405,33.571,0,378.971,0,9.215,530.162
118,20160615,73.343,28.32,0,328.433,0,8.093,438.189
119,20160616,165.44,68.767,0,758.36,0,9.468,1002.035
120,20160617,289.825,96.992,0,1062.564,0,9.865,1459.246
121,20160620,190.895,59.148,0,673.228,0,11.295,934.566
122,20160621,87.064,78.02,0,410.14,0,8.93,584.154
123,20160622,111.758,46.598,0,399.947,3.505,14.883,576.691
124,20160623,160.946,43.619,0,608.044,0,14.122,826.731
125,20160624,312.66,124.449,0.4,1333.997,0,17.133,1788.639
126,20160627,298.681,102.366,0,903.912,0,15.044,1320.003
127,20160628,130.696,46.995,0,572.556,0,12.628,762.875
128,20160629,156.007,53.546,0,562.856,0.1,9.408,781.917
129,20160630,125.574,45.841,0,600.894,0,9.987,782.296
130,20160301,328.25,68.081,0,677.414,0.825,21.39,1095.96
131,20160302,149.684,34.98,0,430.79,0,21.237,636.691
132,20160303,147.661,54.644,0,544.756,0,9.735,756.796
133,20160304,180.321,56.392,0,556.377,0,21.598,814.688
134,20160307,276.347,92.675,0.2,701.021,0.1,14.29,1084.633
135,20160308,261.044,69.391,0,685.508,0,30.309,1046.252
136,20160309,204.828,43.585,0,534.096,0,17.288,799.797
137,20160310,255.767,57.602,0,581.432,0,19.433,914.234
138,20160311,132.494,46.954,0.082,410.43,0,7.062,597.022
139,20160315,127.972,41.482,0,423.538,0,3.634,596.626
140,20160316,123.561,38.724,0.176,358.637,1.337,7.649,530.084
141,20160317,212.77,57.23,0,507.918,1.321,14.485,793.724
142,20160318,133.653,49.73,0,501.396,0.42,16.726,701.925
143,20160321,139.448,37.942,0,366.526,1.683,6.192,551.791
144,20160322,68.406,27.349,0,247.096,0,7.758,350.609
145,20160323,94.818,33.16,0,304.1,4.015,9.731,445.824
146,20160324,115.111,41.621,0,403.617,4.775,10.492,575.616
147,20160328,120.557,27.573,0,287.842,0,6.255,442.227
148,20160329,175.368,47.499,0,543.046,0,14.946,780.859
149,20160330,155.382,58.292,0,451.863,0,12.082,677.619
150,20160331,126.931,35.36,0.1,374.44,0.1,13.79,550.721
151,20160502,138.875,46.991,0,529.524,0.055,8.634,724.079
152,20160503,122.094,41.454,0,733.243,0,8.778,905.569
153,20160504,134.287,40.891,0,573.91,0,7.578,756.666
154,20160505,97.023,45.169,0,440.397,0.1,8.298,590.987
155,20160506,154.579,41.436,0,565.753,0,11.595,773.363
156,20160509,143.973,74.18,0,502.283,0,14.51,734.946
157,20160510,131.858,46.996,0,439.634,0,4.848,623.336
158,20160511,111.535,74.137,0,412.264,0,13.195,611.131
159,20160512,99.825,43.925,0,418.977,0,8.433,571.16
160,20160513,79.296,44.738,0.2,342.45,0.1,8.089,474.873
161,20160516,80.307,29.916,0,300.665,0,10.86,421.748
162,20160517,96.081,50.862,0,522.446,0,8.609,677.998
163,20160518,143.087,48.084,0,467.287,0,7.171,665.629
164,20160519,101.605,39.889,0,522.797,0,7.756,672.047
165,20160520,110.138,38.333,0,547.624,0,3.676,699.771
166,20160523,88.776,55.271,0,322.162,0,14.061,480.27
167,20160524,122.465,73.293,0,526.936,0,13.473,736.167
168,20160525,91.303,62.753,0,455.294,0.097,6.873,616.32
169,20160526,88.926,29.916,0,404.381,0,10.317,533.54
170,20160527,110.062,49.475,0,567.366,0,11.837,738.74
171,20160531,114.229,56.276,0.6,557.164,0,12.454,740.723
172,20161101,228.372,53.198,0,601.88,0,13.969,897.419
173,20161102,198.149,55.119,0,610.12,0.1,24.609,888.097
174,20161103,206.477,43.102,0,571.261,0.2,10.346,831.386
175,20161104,167.224,40.881,0,459.45,0.1,13.842,681.497
176,20161107,166.565,68.687,0,467.471,0.1,8.518,711.341
177,20161108,155.649,42.856,0,451.591,0.32,20.801,671.217
178,20161109,293.748,68.171,0,656.094,0,33.525,1051.538
179,20161110,655.178,156.33,0,1710.381,0.007,55.664,2577.56
180,20161111,325.909,73.877,0.1,1168.142,0.115,20.282,1588.425
181,20161114,305.36,62.98,0,1006.962,0.2,29.663,1405.165
182,20161115,207.929,65.995,0,650.331,0.014,14.414,938.683
183,20161116,139.664,32.486,0,421.345,0,7.686,601.181
184,20161117,80.795,24.08,0,424.237,0,6.932,536.044
185,20161118,143.968,27.173,0,486.339,0,24.264,681.744
186,20161121,102.88,38.361,0,462.666,0,14.431,618.338
187,20161122,75.537,36.375,0,392.94,0,13.892,518.744
188,20161123,81.871,28.784,0,358.217,0,9.362,478.234
189,20161125,46.884,8.385,0,157.744,0,4.361,217.374
190,20161128,168.729,53.787,0.07,650.568,0.409,14.055,887.618
191,20161129,110.923,32.612,0,443.208,0,9.026,595.769
192,20161130,187.893,61.464,0,599.698,0.2,16.462,865.717
193,20161003,109.264,51.172,0,394.8,0,4.482,559.718
194,20161004,111.712,26.01,0,339.099,0,6.473,483.294
195,20161005,103.331,20.256,0,338.14,0,7.517,469.244
196,20161006,89.966,29.025,0,308.249,0,6.187,433.427
197,20161007,95.394,27.699,0,346.652,0,7.112,476.857
198,20161010,136.926,23.701,0,414.605,0,7.286,582.518
199,20161011,164.283,33.152,0,495.114,0,11.839,704.388
200,20161012,69.165,19.71,0,237.51,0,2.327,328.712
201,20161013,124.629,23.137,0,374.273,0,5.1,527.139
202,20161014,91.578,20.845,0,243.589,0,7.052,363.064
203,20161017,106,22.378,0,249.866,0,5.927,384.171
204,20161018,232.09,66.717,0,641.728,0,6.165,946.7
205,20161019,106.942,25.326,0.235,401.402,0.5,6.969,541.374
206,20161020,82.197,32.952,0,395.53,0,8.805,519.484
207,20161021,100.56,31.373,0,410.335,0.1,5.374,547.742
208,20161028,383.028,101.372,1.062,1012.827,0.247,20.479,1519.015
209,20161031,157.128,44.097,0,606.891,0,11.02,819.136
210,20160901,103.571,64.537,0,314.137,0,7.993,490.238
211,20160902,124.666,46.416,0,361.019,0,4.245,536.346
212,20160906,165.993,35.364,0,556.54,0,14.606,772.503
213,20160907,93.536,34.524,0,366.62,0,3.782,498.462
214,20160908,78.259,14.663,0,320.17,0,6.758,419.85
215,20160909,162.536,36.412,0,471.902,0,4.47,675.32
216,20160912,153.681,75.031,0,379.935,0,6.673,615.32
217,20160913,142.36,42.466,0,450.874,0,5.202,640.902
218,20160914,119.282,26.267,0,361.105,0,4.122,510.776
219,20160915,176.53,39.421,0,409.048,0,13.898,638.897
220,20160916,116.954,19.509,0,402.128,0,9.351,547.942
221,20160919,88.35,38.386,0,281.702,0,2.425,410.863
222,20160920,74.368,16.556,0,294.696,0,3.255,388.875
223,20160921,115.015,18.277,0,393.998,0,11.992,539.282
224,20160922,177.696,43.406,0,438.771,0.301,4.508,664.682
225,20160923,107.854,34.252,0,349.948,0,5.641,497.695
226,20160926,124.222,21.127,0,348.724,0,5.611,499.684
227,20160927,126.46,22.737,0,321.64,0,4.26,475.097
228,20160928,121.8,28.347,0,369.33,0,15.554,535.031
229,20160929,114.056,35.794,0,375.338,0,7.634,532.822
230,20160930,82.919,23.673,0,383.607,0,7.772,497.971
